amount,amount_to_avg_ratio,hour,late_night,is_online,distance_from_home_km,txns_last_hour,merchant_category,account_age_days,prior_disputes,is_fraud
47.5,1.267,11,0,1,63.0,0,dining,2514,1,0
2.61,0.034,12,0,1,42.8,0,gas,2146,0,0
91.63,2.233,22,0,1,80.6,1,grocery,1260,0,0
31.4,1.267,19,0,0,32.9,0,online_retail,2691,1,0
11.87,0.402,20,0,1,62.6,0,online_retail,2729,0,0
79.26,3.876,13,0,0,9.8,1,grocery,3430,0,0
224.81,7.621,23,1,1,83.2,1,gas,251,0,1
51.5,2.272,23,1,0,3.6,1,electronics,2719,0,0
16.77,0.669,3,1,0,2.6,1,gas,2134,0,0
7.62,0.219,4,1,0,29.3,0,electronics,1043,1,0
15.8,0.372,7,0,1,15.6,0,grocery,1538,0,0
32.81,0.769,13,0,0,10.9,0,travel,185,0,0
52.13,1.136,19,0,0,15.2,3,dining,1740,0,0
46.95,1.019,11,0,1,20.7,0,grocery,780,0,0
82.29,3.636,23,1,1,118.3,1,gas,2801,1,0
17.86,0.457,8,0,1,32.4,6,dining,3479,0,0
19.36,0.509,22,0,1,81.8,2,online_retail,1317,0,0
81.97,1.675,14,0,0,6.9,0,gas,2799,0,0
45.65,1.784,17,0,0,3.8,0,online_retail,1360,2,0
27.44,0.922,5,1,0,2.7,1,grocery,2372,0,0
11.17,0.455,14,0,0,21.1,2,gas,3433,0,0
42.7,1.766,19,0,1,97.1,8,online_retail,3017,0,0
31.2,0.926,21,0,1,22.5,0,gas,3263,0,0
21.64,0.672,20,0,0,19.2,1,grocery,3558,0,0
20.82,0.281,23,1,0,8.3,0,online_retail,212,0,0
24.59,0.434,3,1,1,35.4,0,gambling,1904,0,0
43.89,0.984,18,0,1,93.6,1,online_retail,995,0,0
33.18,1.009,11,0,0,21.3,1,online_retail,644,0,0
27.97,0.362,16,0,0,1.5,0,grocery,3034,1,0
14.57,0.726,6,0,1,37.8,0,online_retail,1510,0,0
56.63,1.37,0,1,1,64.3,2,gas,1632,0,0
45.82,1.446,1,1,1,61.8,0,online_retail,2369,1,0
16.87,0.359,23,1,0,0.2,1,travel,2137,0,0
44.95,1.368,21,0,0,5.4,2,dining,481,0,0
14.53,0.354,7,0,1,17.3,1,gas,1493,0,0
16.22,0.609,10,0,0,6.5,0,electronics,1239,0,0
7.98,0.316,5,1,1,36.7,1,cash_advance,2464,1,0
20.59,0.509,3,1,0,5.0,1,travel,2265,0,0
44.75,1.225,20,0,1,47.0,1,dining,1520,0,0
21.68,0.869,16,0,0,1.8,0,grocery,1619,0,0
7.91,0.252,1,1,1,27.7,0,dining,1935,1,0
20.4,0.471,4,1,1,6.5,2,travel,1301,0,0
6.76,0.143,13,0,0,2.0,1,online_retail,1906,0,0
16.44,1.048,21,0,0,11.9,1,gas,1409,0,0
4.55,0.374,23,1,0,16.8,0,online_retail,139,0,0
14.9,0.702,5,1,0,8.9,0,online_retail,2392,0,0
35.56,0.732,14,0,1,88.8,1,gas,501,0,0
24.4,1.363,0,1,0,19.4,1,dining,2502,0,0
33.22,1.767,4,1,1,41.4,0,dining,1365,0,0
31.85,0.463,4,1,0,3.6,2,grocery,3434,0,0
51.26,1.192,10,0,0,5.9,0,grocery,2278,0,0
27.42,0.805,8,0,0,37.3,0,gas,1266,0,0
17.76,0.239,17,0,1,153.6,1,gas,1451,1,0
56.98,2.617,11,0,0,22.8,1,travel,2974,0,0
25.82,0.374,8,0,0,17.0,2,gas,1248,0,0
93.86,3.049,21,0,0,15.8,1,grocery,1629,0,0
21.84,1.147,15,0,1,21.0,0,gas,1661,0,0
5.38,0.135,16,0,1,31.6,1,gas,3083,0,0
7.77,0.193,17,0,0,8.2,0,grocery,1340,0,0
14.0,0.764,8,0,0,11.4,0,grocery,1347,0,0
152.26,5.265,21,0,1,101.9,1,dining,3326,0,0
6.37,0.159,0,1,1,93.0,2,dining,1633,0,0
6.18,0.099,7,0,1,60.6,0,online_retail,520,0,0
9.38,0.259,3,1,0,7.8,1,gambling,436,0,0
25.41,1.014,0,1,1,32.3,1,grocery,3062,0,0
15.44,0.687,23,1,0,13.5,2,gambling,1722,0,0
39.81,0.899,2,1,1,86.6,1,travel,2243,0,0
24.19,2.033,11,0,1,101.4,0,dining,380,0,0
20.92,0.886,19,0,1,23.8,1,travel,1583,0,0
114.92,2.684,16,0,0,30.4,1,gas,1295,0,0
14.66,0.634,20,0,0,3.7,0,gas,2307,0,0
42.97,2.651,1,1,0,7.0,0,electronics,2266,0,0
120.91,6.831,11,0,1,21.2,1,grocery,1916,0,0
21.14,0.413,0,1,1,72.7,6,gambling,1030,1,0
31.92,1.474,4,1,0,0.1,0,gambling,3289,0,0
17.95,0.478,20,0,1,93.9,2,gas,2292,0,0
7.16,0.353,1,1,0,6.7,0,grocery,74,0,0
17.34,0.776,14,0,0,15.3,1,dining,3459,0,0
70.82,3.917,0,1,0,16.5,2,travel,2287,0,0
21.66,0.337,7,0,1,15.2,1,dining,1524,0,0
25.38,0.732,22,0,0,8.3,0,electronics,1091,0,0
24.19,0.785,7,0,0,7.3,1,grocery,3340,0,0
9.59,0.545,7,0,1,58.3,1,grocery,429,0,0
55.82,1.769,2,1,1,46.0,1,grocery,970,0,0
19.91,0.241,18,0,0,10.3,0,online_retail,1450,0,0
23.35,0.603,4,1,0,28.2,0,gas,2454,0,0
245.14,10.876,11,0,0,23.0,1,travel,1185,0,1
26.83,0.273,0,1,0,20.9,1,online_retail,1274,0,0
177.19,2.977,0,1,1,12.5,0,grocery,3117,0,0
109.38,1.994,20,0,1,42.7,0,gambling,716,0,0
53.59,1.414,0,1,0,2.4,0,online_retail,2115,0,0
6.69,0.155,11,0,0,1.6,1,cash_advance,618,1,0
5.86,0.112,10,0,0,0.7,1,gas,1264,0,0
15.52,0.682,3,1,0,1.5,0,grocery,3478,0,0
24.12,1.032,15,0,0,9.4,0,dining,1521,0,0
18.62,0.63,17,0,1,105.6,0,grocery,2101,0,0
80.88,1.71,23,1,1,45.0,0,grocery,510,2,0
4.23,0.106,4,1,0,26.7,1,grocery,2879,0,0
31.17,0.876,22,0,0,7.7,0,grocery,3340,1,0
34.63,0.487,1,1,1,57.6,0,dining,3034,0,0
11.04,0.401,3,1,0,4.6,0,gas,2780,0,0
6.07,0.171,14,0,1,73.6,0,grocery,502,0,0
9.21,0.303,20,0,1,24.6,1,grocery,3507,1,0
7.59,0.283,21,0,1,69.2,1,gas,582,0,0
22.39,0.772,17,0,0,25.4,0,grocery,191,0,0
18.01,0.659,0,1,0,39.4,0,gas,1141,0,0
35.35,1.89,10,0,0,23.7,0,travel,3315,0,0
16.62,0.255,19,0,0,8.0,5,gas,3087,1,0
64.54,4.806,12,0,0,24.1,0,dining,2407,0,0
13.54,0.329,4,1,0,10.2,0,online_retail,2807,0,0
9.29,0.361,16,0,1,18.6,0,gambling,2599,1,0
126.38,3.94,2,1,0,22.6,0,dining,3561,0,0
29.17,1.261,16,0,1,47.2,0,gambling,133,0,0
19.74,0.277,0,1,1,33.4,0,dining,2595,0,0
17.5,0.193,8,0,1,71.6,1,dining,3086,1,0
3.18,0.072,7,0,1,106.7,0,gas,1762,0,0
5.82,0.12,22,0,0,7.2,2,gas,2679,0,0
338.44,10.228,17,0,1,54.2,0,online_retail,2128,0,1
16.71,0.459,15,0,0,10.7,0,travel,202,0,0
24.3,0.528,11,0,1,39.9,0,grocery,954,1,0
46.23,1.181,6,0,0,1.0,0,travel,1586,0,0
47.22,3.15,20,0,1,92.8,0,travel,797,0,0
44.13,2.822,22,0,1,42.6,0,gas,587,0,0
12.33,0.354,5,1,0,3.6,2,grocery,2498,0,0
6.7,0.204,5,1,0,14.1,0,travel,638,0,0
8.34,0.47,7,0,1,14.9,1,dining,1725,0,0
6.38,0.231,11,0,1,28.1,1,gas,1011,0,0
99.86,3.413,6,0,1,50.5,1,cash_advance,3190,0,0
6.17,0.173,9,0,0,18.2,1,gas,1126,0,0
10.58,0.38,23,1,1,84.5,0,travel,2172,0,0
32.53,0.855,8,0,0,14.8,1,grocery,1706,0,0
57.27,1.767,22,0,1,62.7,0,gambling,394,1,0
4.43,0.185,12,0,0,31.7,0,grocery,482,0,0
24.04,0.628,8,0,1,77.9,2,dining,2325,0,0
39.82,1.256,22,0,1,16.3,0,gas,2801,0,0
51.9,0.644,10,0,0,13.8,1,electronics,1693,0,0
22.61,0.397,18,0,0,11.3,1,grocery,1047,0,0
18.75,0.688,7,0,1,102.1,1,travel,3135,0,0
11.84,0.331,23,1,1,34.5,2,grocery,2703,0,0
10.3,0.253,17,0,0,3.6,0,grocery,3302,0,0
13.5,0.558,21,0,1,33.2,0,dining,1173,0,0
8.26,0.221,0,1,1,18.4,1,online_retail,645,0,0
24.0,0.678,2,1,1,60.4,1,electronics,2082,0,0
55.85,2.01,1,1,1,8.8,2,grocery,209,0,0
4.94,0.121,12,0,0,23.9,0,dining,3382,0,0
129.01,3.379,9,0,0,8.2,1,dining,1969,1,0
25.56,1.665,23,1,1,20.4,0,grocery,1904,2,0
32.71,1.124,5,1,0,16.6,0,grocery,2715,0,0
17.23,0.536,4,1,1,50.7,1,online_retail,2014,0,0
43.15,0.884,20,0,0,8.0,0,dining,3438,0,0
259.61,7.083,7,0,0,9.8,0,travel,3240,0,1
15.25,0.369,17,0,1,47.2,1,gas,1577,0,0
50.49,1.554,6,0,0,2.0,0,dining,1054,0,0
43.18,0.742,13,0,1,59.4,0,gas,969,0,0
22.93,0.65,1,1,0,5.1,0,grocery,338,0,0
11.79,0.728,15,0,1,63.0,0,gas,3509,0,0
55.97,2.27,21,0,0,32.3,0,dining,1476,0,0
21.14,0.624,16,0,0,22.4,0,gas,916,0,0
3.91,0.162,21,0,0,40.2,2,grocery,2479,1,0
16.91,0.454,18,0,1,10.0,0,gas,3104,0,0
85.33,4.47,13,0,1,58.8,0,grocery,172,0,0
50.44,1.329,22,0,0,3.7,1,grocery,216,0,0
131.96,1.977,11,0,0,7.8,0,grocery,3197,0,0
6.98,0.226,3,1,1,96.3,1,grocery,257,0,0
27.14,1.116,13,0,0,2.7,1,grocery,2618,0,0
23.55,0.808,15,0,1,60.4,1,travel,1435,0,0
48.02,1.749,4,1,0,22.9,0,grocery,1232,0,0
51.67,3.452,3,1,1,18.1,0,online_retail,2692,0,0
26.7,0.689,15,0,0,3.1,0,grocery,3254,1,0
21.54,0.436,10,0,0,7.7,1,gas,2414,0,0
6.58,0.12,11,0,0,3.5,0,electronics,1175,0,0
4.59,0.173,18,0,0,0.0,0,gas,3475,1,0
86.82,1.488,16,0,1,150.1,0,gas,2607,1,0
27.98,0.824,21,0,0,8.8,2,gambling,3432,2,0
55.02,3.069,4,1,1,105.6,1,gambling,1678,0,1
35.31,1.603,18,0,1,93.8,0,dining,859,0,0
37.21,0.587,12,0,0,24.6,0,gas,3368,0,0
45.74,0.831,0,1,1,27.8,0,dining,497,0,0
31.58,1.26,1,1,0,1.1,1,gas,1001,1,0
46.23,2.037,8,0,0,27.4,0,grocery,1951,0,0
19.45,0.353,15,0,1,68.1,0,gas,2758,0,0
13.2,0.39,3,1,0,13.2,2,grocery,1677,2,0
8.9,0.722,13,0,1,42.4,0,dining,1224,0,0
44.07,1.248,23,1,0,3.8,1,grocery,1315,0,0
45.19,1.302,3,1,1,88.9,0,gas,2547,0,0
24.6,0.916,3,1,0,8.1,0,gas,3326,1,0
13.56,0.244,23,1,0,39.7,0,dining,1771,0,0
27.74,1.23,5,1,0,2.6,0,electronics,2094,0,0
15.25,0.493,20,0,1,73.1,0,grocery,857,1,0
29.98,0.778,8,0,1,29.9,0,electronics,3490,0,0
37.86,1.473,18,0,0,27.7,0,online_retail,917,0,0
62.86,0.895,1,1,0,24.3,5,gas,2160,0,0
37.52,1.012,15,0,1,61.2,1,cash_advance,854,0,0
18.87,0.703,20,0,0,14.7,1,gas,3081,0,0
29.18,1.365,8,0,0,18.8,1,electronics,1273,0,0
80.13,2.741,15,0,1,34.3,2,online_retail,903,1,0
8.01,0.384,5,1,1,91.0,0,grocery,2767,1,0
11.13,0.408,3,1,0,15.5,2,online_retail,1487,0,0
25.06,0.963,0,1,0,13.7,3,gambling,3459,0,0
8.34,0.237,11,0,0,4.0,1,electronics,3469,0,0
20.51,0.89,12,0,1,116.9,2,grocery,1211,0,0
41.45,1.408,1,1,0,3.9,0,grocery,2850,0,0
103.24,2.417,5,1,1,26.9,2,grocery,1462,0,0
20.72,0.849,14,0,0,9.9,1,gas,420,0,0
16.8,0.338,8,0,0,15.8,5,gas,2690,0,0
151.18,6.866,5,1,1,48.8,1,gas,3338,0,0
136.27,3.477,0,1,1,38.9,2,dining,1722,0,0
14.1,0.561,0,1,0,19.1,0,grocery,2804,0,0
322.38,8.406,15,0,1,15.3,1,dining,2578,0,1
47.17,1.404,2,1,0,3.5,0,online_retail,937,1,0
7.07,0.201,20,0,0,12.0,0,online_retail,2643,0,0
12.62,0.291,13,0,0,33.8,0,travel,3431,0,0
66.94,2.807,6,0,0,10.7,1,travel,2206,0,0
43.78,1.817,15,0,0,19.4,0,electronics,1593,0,0
37.68,0.384,3,1,1,48.8,1,grocery,2224,0,0
50.86,1.273,7,0,0,25.8,2,online_retail,2659,0,0
81.58,2.95,11,0,0,20.7,1,online_retail,1668,0,0
72.23,3.049,15,0,1,26.9,0,gas,3338,1,0
94.98,2.374,3,1,0,18.0,0,gas,757,0,0
8.59,0.606,8,0,0,18.6,1,grocery,1504,1,0
40.27,1.348,2,1,1,6.0,1,dining,3494,1,0
38.19,1.773,3,1,1,30.7,1,electronics,2184,0,0
100.11,3.43,5,1,0,15.3,1,electronics,995,0,0
47.0,1.219,7,0,1,23.9,0,grocery,1016,0,0
31.88,0.415,21,0,1,55.5,1,grocery,2090,0,0
48.02,0.79,9,0,1,69.0,0,dining,1761,0,0
26.43,0.68,2,1,1,58.7,0,grocery,904,0,0
13.69,0.419,21,0,0,9.6,0,dining,1879,0,0
107.94,2.416,13,0,0,5.6,1,gas,3100,0,0
43.87,1.402,2,1,1,33.2,0,grocery,2281,0,0
25.53,0.676,1,1,0,6.1,1,cash_advance,1811,0,0
11.31,0.319,2,1,0,3.4,1,dining,2282,0,0
17.85,0.762,21,0,0,3.5,0,dining,1770,0,0
76.26,3.656,13,0,1,143.5,8,gas,2400,0,1
6.01,0.211,16,0,0,9.1,0,dining,2468,0,0
39.12,0.875,23,1,0,0.5,0,grocery,2166,0,0
125.56,5.094,9,0,0,1.1,2,gambling,2460,0,0
4.02,0.094,21,0,1,85.8,1,gas,1085,0,0
7.57,0.199,9,0,0,19.0,0,gas,1302,0,0
8.91,0.319,16,0,0,15.9,3,grocery,3431,0,0
15.87,0.75,19,0,0,6.3,0,grocery,3352,0,0
75.54,2.993,1,1,1,22.8,1,dining,3128,1,0
8.54,0.251,17,0,1,89.6,0,electronics,2743,0,0
18.5,0.619,19,0,1,16.8,1,grocery,2155,0,0
12.81,0.383,23,1,0,11.0,1,online_retail,1824,0,0
44.63,0.809,16,0,1,14.2,0,grocery,409,0,0
38.3,1.742,11,0,0,6.9,1,gas,1228,0,0
60.06,1.367,3,1,1,51.7,0,grocery,2541,0,0
21.74,0.524,18,0,0,14.9,1,travel,679,0,0
12.16,0.456,11,0,0,10.6,0,dining,3255,0,0
67.21,1.695,19,0,1,52.8,9,gas,1367,0,0
83.97,1.771,1,1,0,6.9,1,cash_advance,3225,0,0
12.11,0.55,8,0,1,39.0,1,gas,2711,0,0
18.13,0.4,19,0,0,0.9,9,cash_advance,59,0,0
24.21,0.462,14,0,0,3.8,1,dining,1269,0,0
44.39,2.376,17,0,0,7.8,2,travel,1271,0,0
23.85,1.031,14,0,1,59.0,1,online_retail,716,0,0
32.44,1.055,19,0,1,53.5,0,gas,3439,0,0
9.01,0.386,19,0,0,6.1,0,gas,2503,0,0
47.72,2.169,18,0,1,64.4,0,online_retail,479,0,0
38.76,0.889,15,0,1,13.7,6,grocery,2916,0,0
12.84,0.567,6,0,1,46.7,0,dining,1739,0,0
20.84,0.3,1,1,0,5.3,0,gambling,3003,0,0
20.12,0.634,18,0,1,91.8,0,grocery,3034,0,0
56.09,0.982,8,0,0,14.8,2,grocery,1010,0,0
185.49,6.68,5,1,0,9.7,1,dining,2458,0,0
21.67,0.886,0,1,1,48.1,0,dining,1749,0,0
147.35,2.7,3,1,0,11.5,0,grocery,1752,0,0
28.87,0.492,0,1,0,15.2,1,online_retail,2234,0,0
30.71,0.563,9,0,1,63.8,1,dining,161,0,0
17.78,0.47,7,0,0,28.5,1,gambling,2156,0,0
66.4,2.003,11,0,1,20.9,0,grocery,3206,0,0
24.12,0.781,13,0,0,5.1,1,grocery,670,0,0
77.83,3.515,6,0,0,3.8,0,grocery,2416,0,0
49.05,2.191,12,0,1,34.9,0,grocery,2817,0,0
8.85,0.216,14,0,0,1.4,0,online_retail,1966,0,0
13.42,0.536,16,0,1,28.6,1,gas,2480,0,0
24.92,0.28,14,0,0,15.6,0,dining,1854,0,0
9.96,0.411,0,1,0,20.5,0,online_retail,2939,0,0
67.1,2.81,5,1,1,51.0,1,travel,2715,0,0
9.21,0.159,19,0,0,14.2,0,dining,2295,0,0
18.32,0.358,14,0,1,55.1,0,grocery,898,0,0
11.38,0.651,7,0,1,9.8,2,gas,2064,0,0
2.6,0.067,8,0,0,36.4,0,grocery,1816,0,0
19.5,0.795,22,0,1,40.2,0,online_retail,2927,0,0
30.51,1.565,17,0,0,17.2,0,dining,750,1,0
79.17,2.836,8,0,1,69.5,1,online_retail,2817,1,0
9.57,0.259,6,0,0,7.6,0,online_retail,3175,0,0
30.41,1.225,3,1,0,8.7,0,online_retail,2607,0,0
39.19,1.244,19,0,0,20.2,0,online_retail,2805,1,0
69.22,3.307,15,0,0,11.8,0,grocery,3300,0,0
8.99,0.124,9,0,0,5.9,0,online_retail,2021,0,0
33.03,0.719,16,0,0,4.3,0,travel,2595,0,0
46.22,1.851,13,0,1,26.4,1,dining,116,0,0
7.56,0.182,12,0,1,98.7,0,gas,379,0,0
38.35,0.773,16,0,0,34.8,0,grocery,2588,0,0
48.38,1.443,18,0,1,22.7,1,grocery,1731,0,0
18.05,0.544,12,0,0,14.4,0,gas,430,1,0
7.87,0.358,9,0,0,36.3,1,grocery,1376,1,0
4.66,0.166,6,0,1,43.5,1,grocery,1011,1,0
18.97,0.587,7,0,0,5.4,1,online_retail,1963,0,0
97.54,1.903,23,1,0,12.7,0,dining,171,0,0
13.45,0.284,4,1,0,4.7,2,gambling,2732,1,0
21.79,0.526,2,1,1,53.1,2,gas,2446,0,0
114.81,2.615,14,0,0,0.1,1,online_retail,386,0,0
21.96,0.881,7,0,0,38.9,1,travel,3398,0,0
16.98,0.547,2,1,0,17.8,0,online_retail,2372,0,0
24.26,0.749,13,0,1,73.4,0,grocery,2394,1,0
16.57,0.635,17,0,1,39.5,0,grocery,3250,0,0
82.07,2.352,0,1,0,22.2,1,dining,1341,0,0
18.31,0.605,11,0,0,3.6,0,travel,2315,0,0
50.52,1.417,3,1,1,18.7,0,online_retail,3052,1,0
82.03,1.653,13,0,0,7.3,0,cash_advance,335,0,0
18.43,1.204,19,0,0,6.3,0,grocery,2466,0,0
18.93,0.343,19,0,1,39.4,0,online_retail,354,0,0
6.82,0.489,18,0,1,56.6,1,gambling,1613,0,0
20.45,0.659,7,0,0,12.7,1,dining,549,0,0
44.79,2.711,15,0,0,19.1,0,dining,2807,0,0
90.71,2.691,15,0,1,50.6,0,online_retail,730,0,0
14.24,0.427,21,0,0,9.4,1,online_retail,1490,1,0
58.7,1.857,16,0,0,0.8,0,dining,3404,0,0
77.88,3.153,18,0,0,18.8,1,travel,778,0,0
32.15,1.002,2,1,0,9.2,0,grocery,1533,0,0
75.28,2.513,7,0,1,37.5,4,gas,1242,0,0
4.61,0.283,8,0,1,36.2,0,electronics,1715,0,0
4.93,0.249,15,0,0,5.6,0,grocery,1253,0,0
7.31,0.225,20,0,0,23.8,0,cash_advance,1681,0,0
20.04,0.691,8,0,0,4.4,0,grocery,2690,0,0
8.05,0.167,11,0,0,5.2,1,gas,1495,0,0
63.55,1.598,17,0,1,10.4,0,grocery,3143,0,0
11.36,0.298,4,1,0,6.8,2,travel,2157,1,0
28.51,1.517,9,0,1,76.1,5,grocery,728,0,0
14.57,0.637,4,1,0,0.4,1,online_retail,2960,0,0
10.93,0.371,3,1,0,3.6,0,online_retail,3504,0,0
17.37,0.432,16,0,1,52.3,1,grocery,2499,0,0
23.13,0.503,21,0,1,13.7,1,dining,1923,0,0
22.11,0.611,3,1,0,8.9,0,gambling,2900,2,0
13.34,1.227,16,0,0,3.2,0,gas,707,0,0
6.34,0.228,16,0,0,11.3,0,travel,1403,0,0
5.3,0.312,17,0,0,41.8,0,grocery,3456,0,0
18.71,0.535,16,0,0,20.7,1,online_retail,2851,0,0
110.4,3.867,13,0,1,38.6,1,dining,2968,0,0
14.99,0.37,2,1,1,21.3,0,grocery,1156,0,0
105.91,2.674,18,0,0,32.8,0,dining,2123,0,0
101.51,3.369,4,1,1,30.5,0,online_retail,2653,0,0
109.31,3.285,10,0,0,8.4,1,grocery,914,2,0
35.77,0.999,22,0,1,88.9,0,grocery,1612,0,0
27.36,0.823,13,0,0,3.7,0,grocery,1189,0,0
67.77,3.445,6,0,1,71.8,0,grocery,2899,0,0
390.43,7.785,1,1,1,28.6,0,travel,125,0,1
16.57,0.589,6,0,1,45.1,0,grocery,1524,0,0
6.93,0.226,13,0,0,8.5,0,cash_advance,213,0,0
11.11,0.732,20,0,1,40.3,0,gas,1757,1,0
9.76,0.249,19,0,0,3.7,0,dining,778,0,0
31.74,0.406,5,1,0,7.7,0,gas,376,0,0
24.95,1.171,16,0,0,11.6,0,dining,3060,0,0
8.15,0.405,15,0,1,112.2,1,electronics,2284,0,0
15.13,0.943,19,0,0,15.0,0,online_retail,2079,0,0
59.28,1.628,11,0,1,30.6,3,gas,1324,0,0
94.47,1.721,11,0,1,10.9,0,dining,1850,0,0
27.5,0.89,10,0,1,56.3,0,grocery,1084,0,0
46.46,0.804,21,0,0,6.0,0,dining,73,0,0
17.16,0.332,12,0,1,60.6,1,grocery,932,0,0
29.32,0.84,2,1,0,12.7,1,grocery,1172,0,0
24.16,1.401,12,0,1,88.0,0,gas,3314,0,0
20.72,0.777,21,0,0,20.9,0,gas,1083,1,0
32.48,1.142,20,0,0,1.7,2,cash_advance,1208,0,0
92.26,0.964,8,0,0,23.2,1,online_retail,2225,0,0
13.66,0.585,21,0,0,5.8,1,electronics,1171,1,0
11.72,0.242,2,1,1,40.7,1,cash_advance,74,0,0
28.9,0.849,17,0,1,18.3,2,dining,2896,0,0
41.72,1.341,14,0,0,10.9,1,travel,112,0,0
312.51,7.161,0,1,0,9.3,1,online_retail,640,0,1
7.68,0.327,10,0,0,14.7,0,travel,3182,0,0
20.55,1.694,9,0,1,85.9,0,gas,1411,0,0
31.73,1.233,10,0,0,22.8,1,travel,387,0,0
78.87,1.869,6,0,0,16.4,1,grocery,1427,0,0
23.37,0.974,20,0,1,17.4,2,grocery,1113,0,0
10.87,0.224,19,0,0,11.4,0,travel,2301,0,0
218.56,5.55,3,1,0,28.2,0,dining,1484,0,0
30.76,1.283,18,0,1,73.3,0,grocery,3572,0,0
13.3,0.808,14,0,1,50.4,1,electronics,1173,0,0
15.47,0.419,4,1,1,11.3,0,dining,3356,0,0
10.8,0.512,9,0,0,5.0,0,travel,2604,0,0
78.12,1.761,6,0,1,43.8,1,dining,1650,0,0
135.2,2.454,12,0,0,0.3,0,dining,1148,1,0
32.52,1.278,3,1,0,14.4,1,gas,2339,0,0
26.86,0.83,11,0,0,4.7,0,dining,1859,0,0
20.3,0.94,2,1,0,7.9,1,dining,1031,0,0
47.21,0.827,3,1,0,12.2,3,cash_advance,1802,0,0
63.1,2.961,20,0,1,42.7,1,electronics,2374,0,0
21.95,1.01,12,0,0,5.0,0,gas,1976,0,0
14.95,0.396,6,0,1,153.1,0,travel,2027,0,0
6.51,0.114,20,0,0,9.3,0,gambling,935,0,0
16.45,0.531,8,0,1,40.2,1,dining,1029,0,0
44.88,1.41,4,1,1,21.4,1,grocery,1619,0,0
37.04,0.824,21,0,0,20.2,0,cash_advance,1126,0,0
70.74,1.291,0,1,0,5.6,1,grocery,2738,0,0
12.89,0.447,22,0,1,116.4,0,grocery,201,0,0
130.18,2.984,1,1,0,9.6,0,travel,519,0,0
14.01,0.473,19,0,0,13.8,1,online_retail,1322,0,0
19.7,0.681,11,0,0,16.7,0,online_retail,1069,0,0
16.34,0.329,3,1,1,17.6,0,grocery,1134,0,0
3.25,0.129,23,1,1,25.8,0,cash_advance,3419,0,0
161.12,4.467,10,0,1,44.8,1,cash_advance,1056,0,0
70.08,2.799,1,1,1,40.3,0,grocery,265,0,0
30.08,0.551,17,0,0,7.9,3,electronics,3549,0,0
3.82,0.082,23,1,0,17.0,8,gas,2069,0,0
24.31,0.777,3,1,0,0.9,0,electronics,2556,0,0
89.22,3.708,12,0,1,77.1,0,grocery,501,0,0
18.04,0.76,22,0,1,47.4,1,online_retail,1117,0,0
24.41,0.453,2,1,0,2.4,0,grocery,2886,0,0
57.43,2.482,18,0,0,13.2,2,dining,2480,0,0
20.34,0.745,10,0,0,10.2,0,dining,1324,1,0
51.41,0.443,1,1,0,14.2,1,grocery,1553,0,0
17.73,0.642,4,1,1,72.2,0,dining,959,0,0
69.37,1.482,20,0,0,13.9,3,cash_advance,2338,0,0
29.28,1.204,17,0,0,9.0,0,grocery,2459,0,0
98.76,3.018,21,0,0,22.9,0,dining,1156,0,0
